Datetime,TempAmarillo,TempLubbock,DewpointAmarillo,DewpointLubbock,WindspeedAmarillo,WindspeedLubbock,HourEnding,MarketDay,PeakType,Month,Year,PrecipitationLWCLubbock,PrecipitationLWCAmarillo,GR_PANHANDLE (WINDDATA)
6/1/2017 0:00,63,67,53,55,13,9,1,6/1/2017,OFFPEAK,JUNE,2017,,,1621.04
6/1/2017 1:00,62,65,53,56,9,6,2,6/1/2017,OFFPEAK,JUNE,2017,,,1107.5525
6/1/2017 2:00,60,65,53,57,9,8,3,6/1/2017,OFFPEAK,JUNE,2017,,,830.366667
6/1/2017 3:00,57,61,52,55,6,5,4,6/1/2017,OFFPEAK,JUNE,2017,,,788.151667
6/1/2017 4:00,57,60,52,55,6,0,5,6/1/2017,OFFPEAK,JUNE,2017,,,814.894167
6/1/2017 5:00,56,61,52,55,8,0,6,6/1/2017,OFFPEAK,JUNE,2017,,,964.441667
6/1/2017 6:00,55,60,52,55,5,3,7,6/1/2017,WDPEAK,JUNE,2017,,,1130.673333
6/1/2017 7:00,58,66,53,56,8,8,8,6/1/2017,WDPEAK,JUNE,2017,,,976.854167
6/1/2017 8:00,65,69,55,58,11,13,9,6/1/2017,WDPEAK,JUNE,2017,,,711.503333
6/1/2017 9:00,71,71,54,58,17,9,10,6/1/2017,WDPEAK,JUNE,2017,,,1043.161667
6/1/2017 10:00,74,73,54,57,15,6,11,6/1/2017,WDPEAK,JUNE,2017,,,1001.294167
6/1/2017 11:00,73,77,55,57,13,8,12,6/1/2017,WDPEAK,JUNE,2017,,,734.686667
6/1/2017 12:00,76,77,56,54,11,8,13,6/1/2017,WDPEAK,JUNE,2017,,,630.071667
6/1/2017 13:00,80,78,53,55,9,11,14,6/1/2017,WDPEAK,JUNE,2017,,,555.905
6/1/2017 14:00,81,76,50,57,7,18,15,6/1/2017,WDPEAK,JUNE,2017,0.01,,501.74
6/1/2017 15:00,81,80,48,52,10,8,16,6/1/2017,WDPEAK,JUNE,2017,,,626.024167
6/1/2017 16:00,78,82,52,50,21,3,17,6/1/2017,WDPEAK,JUNE,2017,,,766.963333
6/1/2017 17:00,81,82,53,49,20,7,18,6/1/2017,WDPEAK,JUNE,2017,,,1204.610833
6/1/2017 18:00,79,82,54,50,23,7,19,6/1/2017,WDPEAK,JUNE,2017,,,1675.113333
6/1/2017 19:00,75,80,53,51,22,7,20,6/1/2017,WDPEAK,JUNE,2017,,,2057.621667
6/1/2017 20:00,70,72,54,57,14,16,21,6/1/2017,WDPEAK,JUNE,2017,,,2103.589167
6/1/2017 21:00,67,70,55,55,14,14,22,6/1/2017,WDPEAK,JUNE,2017,,,2058.220833
6/1/2017 22:00,65,69,55,53,11,10,23,6/1/2017,OFFPEAK,JUNE,2017,,,2005.853333
6/1/2017 23:00,64,68,54,54,14,10,24,6/1/2017,OFFPEAK,JUNE,2017,,,1814.2775
6/2/2017 0:00,62,66,57,55,14,8,1,6/2/2017,OFFPEAK,JUNE,2017,,,1790.3975
6/2/2017 1:00,60,65,58,57,11,9,2,6/2/2017,OFFPEAK,JUNE,2017,,,1775.520833
6/2/2017 2:00,60,65,59,58,9,7,3,6/2/2017,OFFPEAK,JUNE,2017,,,1617.508333
6/2/2017 3:00,60,64,59,57,10,3,4,6/2/2017,OFFPEAK,JUNE,2017,,,961.805833
6/2/2017 4:00,60,63,59,58,9,0,5,6/2/2017,OFFPEAK,JUNE,2017,,,619.869167
6/2/2017 5:00,59,63,59,58,5,3,6,6/2/2017,OFFPEAK,JUNE,2017,,,434.011667
6/2/2017 6:00,58,61,58,56,5,6,7,6/2/2017,WDPEAK,JUNE,2017,,,168.3775
6/2/2017 7:00,60,63,60,60,14,10,8,6/2/2017,WDPEAK,JUNE,2017,,,134.988333
6/2/2017 8:00,62,65,62,62,17,10,9,6/2/2017,WDPEAK,JUNE,2017,,,256.325833
6/2/2017 9:00,67,69,62,62,13,8,10,6/2/2017,WDPEAK,JUNE,2017,,,259.2075
6/2/2017 10:00,72,73,62,62,11,10,11,6/2/2017,WDPEAK,JUNE,2017,,,197.296667
6/2/2017 11:00,74,77,61,60,15,5,12,6/2/2017,WDPEAK,JUNE,2017,,,318.795833
6/2/2017 12:00,77,80,61,56,13,0,13,6/2/2017,WDPEAK,JUNE,2017,,,485.550833
6/2/2017 13:00,78,83,61,54,18,6,14,6/2/2017,WDPEAK,JUNE,2017,,,1003.304167
6/2/2017 14:00,79,70,60,55,18,22,15,6/2/2017,WDPEAK,JUNE,2017,0.01,,1272.550833
6/2/2017 15:00,78,66,59,61,14,23,16,6/2/2017,WDPEAK,JUNE,2017,0.02,,1172.848333
6/2/2017 16:00,68,71,57,55,10,7,17,6/2/2017,WDPEAK,JUNE,2017,,,1128.735
6/2/2017 17:00,67,67,54,59,7,21,18,6/2/2017,WDPEAK,JUNE,2017,,,1166.850833
6/2/2017 18:00,65,66,54,57,13,15,19,6/2/2017,WDPEAK,JUNE,2017,,,1166.699167
6/2/2017 19:00,66,64,54,59,8,16,20,6/2/2017,WDPEAK,JUNE,2017,0.01,,1020.179167
6/2/2017 20:00,65,64,56,57,7,5,21,6/2/2017,WDPEAK,JUNE,2017,0.01,,1271.93
6/2/2017 21:00,67,63,61,58,10,6,22,6/2/2017,WDPEAK,JUNE,2017,,,844.0625
6/2/2017 22:00,64,64,57,59,8,6,23,6/2/2017,OFFPEAK,JUNE,2017,,,917.113333
6/2/2017 23:00,64,64,61,59,11,7,24,6/2/2017,OFFPEAK,JUNE,2017,0.01,,528.325
6/3/2017 0:00,63,63,61,60,9,5,1,6/3/2017,OFFPEAK,JUNE,2017,,,357.713333
6/3/2017 1:00,63,63,61,60,6,0,2,6/3/2017,OFFPEAK,JUNE,2017,,,157.709167
6/3/2017 2:00,62,63,61,60,5,5,3,6/3/2017,OFFPEAK,JUNE,2017,,,79.851667
6/3/2017 3:00,60,63,58,60,3,5,4,6/3/2017,OFFPEAK,JUNE,2017,0.01,,19.195
6/3/2017 4:00,61,63,60,60,5,3,5,6/3/2017,OFFPEAK,JUNE,2017,0.01,,9.046667
